nodes	cores	size	time
2	1	50	150.36
2	1	60	179.37
2	1	70	203.13
2	1	80	227.54
2	1	90	251.35
2	1	100	282.36
2	2	50	113.70
2	2	60	117.98
2	2	70	128.78
2	2	80	143.71
2	2	90	151.97
2	2	100	177.46
2	4	50	87.21
2	4	60	90.68
2	4	70	98.34
2	4	80	97.95
2	4	90	110.39
2	4	100	119.28
3	1	50	132.07
3	1	60	152.00
3	1	70	164.20
3	1	80	185.05
3	1	90	206.44
3	1	100	225.01
3	2	50	91.35
3	2	60	96.82
3	2	70	113.20
3	2	80	115.14
3	2	90	130.78
3	2	100	126.74
3	4	50	88.17
3	4	60	87.16
3	4	70	100.10
3	4	80	101.93
3	4	90	115.87
3	4	100	122.78
4	1	50	136.59
4	1	60	151.42
4	1	70	182.18
4	1	80	201.16
4	1	90	210.94
4	1	100	212.20
4	2	50	87.24
4	2	60	92.26
4	2	70	98.05
4	2	80	106.89
4	2	90	116.43
4	2	100	122.14
4	4	50	66.96
4	4	60	83.32
4	4	70	74.31
4	4	80	83.13
4	4	90	87.09
4	4	100	95.74
5	1	50	110.76
5	1	60	128.25
5	1	70	137.91
5	1	80	155.01
5	1	90	171.60
5	1	100	201.48
5	2	50	100.04
5	2	60	101.27
5	2	70	109.50
5	2	80	117.30
5	2	90	126.78
5	2	100	134.81
5	4	50	66.82
5	4	60	65.92
5	4	70	74.81
5	4	80	71.37
5	4	90	83.70
5	4	100	89.56
6	1	50	131.57
6	1	60	139.21
6	1	70	137.22
6	1	80	160.98
6	1	90	173.85
6	1	100	192.67
6	2	50	96.79
6	2	60	106.11
6	2	70	102.96
6	2	80	107.99
6	2	90	116.11
6	2	100	114.38
6	4	50	68.68
6	4	60	74.45
6	4	70	71.76
6	4	80	77.11
6	4	90	82.57
6	4	100	85.54
7	1	50	117.93
7	1	60	117.29
7	1	70	138.51
7	1	80	135.82
7	1	90	149.71
7	1	100	161.05
7	2	50	74.35
7	2	60	83.65
7	2	70	100.63
7	2	80	101.38
7	2	90	100.76
7	2	100	104.15
7	4	50	92.63
7	4	60	90.85
7	4	70	90.07
7	4	80	88.85
7	4	90	98.52
7	4	100	128.65
8	1	50	99.23
8	1	60	113.79
8	1	70	116.49
8	1	80	128.29
8	1	90	143.96
8	1	100	150.08
8	2	50	93.42
8	2	60	85.69
8	2	70	106.01
8	2	80	99.26
8	2	90	107.72
8	2	100	108.01
8	4	50	88.79
8	4	60	77.80
8	4	70	83.31
8	4	80	100.92
8	4	90	91.83
8	4	100	215.97
9	1	50	117.25
9	1	60	126.02
9	1	70	126.85
9	1	80	152.94
9	1	90	146.70
9	1	100	197.02
9	2	50	91.55
9	2	60	92.35
9	2	70	84.96
9	2	80	99.63
9	2	90	110.93
9	2	100	120.74
9	4	50	164.20
9	4	60	262.53
9	4	70	117.60
9	4	80	116.41
9	4	90	109.44
9	4	100	105.85
10	1	50	108.33
10	1	60	113.73
10	1	70	129.21
10	1	80	135.06
10	1	90	141.07
10	1	100	155.86
10	2	50	78.36
10	2	60	83.71
10	2	70	86.46
10	2	80	92.35
10	2	90	93.29
10	2	100	102.20
10	4	50	68.70
10	4	60	74.59
10	4	70	77.49
10	4	80	76.61
10	4	90	80.19
10	4	100	85.82
